Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,Nevis,St. Cruz,St. Eustatia,St. Kitts,St. Martins,St. Vincents,Tortola,WI,,New Providence,Tortuga,Boston,Falmouth NE,New England,New Jersey,Newcastle DE,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,GB,,Cork,Dublin,Galway,Londonderry,Newry,Sligo,Waterford,IRE,,Madeira,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,barrels,1.6,,0.175,165.69,0.168990283,,,,,,,,,,,,,,,0,0,,,,,,,,,,3,,3,1,,,,0,0,,,,,,,,0,0,,0,0,3,1
Salt,hhds,1.6,,0.35,165.69,0.337980566,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,,1,0,,,,0,0,,,,,,,,0,0,,0,0,1,0
Salt,bushels,1.6,,0.05,165.69,0.048282938,,500,,,,,,,,,2140,1200,,,3840,185,,4000,,,,,2000,,10422,,,16422,793,,1795,31440,33235,1605,,,,,,,,0,0,,0,0,53497,2583
Servants,,13.96,,1,100,13.96,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,2,22,5,29,405,119,335,91,10,30,2,18,605,8446,,0,0,634,8851
Shingles,,,,,165.69,0,,,,,,,,,,,,,,,0,0,,,,,,200000,,18000,,,,218000,0,,,,0,0,,,,,,,,0,0,,0,0,218000,0
Spirits,kegs,3.35,,0.725,165.69,1.465839821,,,,,,,,,,,,,,,0,0,,,,,,,,,,30,,30,44,,,,0,0,,,,,,,,0,0,,0,0,30,44
Sugar,tierces,50.86,,0.495089286,165.69,15.19720024,,,,,8,1,,,,,,,,,9,137,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,0,0,9,137
Sugar,hhds,50.86,,0.646875,165.69,19.85639598,,,,,,2,,,,,,,,,2,40,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,,0,0,2,40
Sugar,pounds,50.86,,0.000446429,165.69,0.013703517,24700,34600,,,,29432,17900,4150,10000,,13700,,,3300,137782,1888,4200,,800,,2000,,,,,6630,,13630,187,,,,0,0,,,,,,,,0,0,,0,0,151412,2075
Sugar,barrels,50.86,,0.15,165.69,4.604381677,,,,,4,,,,,,,,,,4,18,,,,,,,,,2,,,2,9,,,,0,0,,,,,,,,0,0,,0,0,6,27
