year,good,value,movement_type
1768,Cotton,0,CL
1768,Cotton,78,CL
1768,Cotton,387,CL
1768,Flax,0,CL
1768,Flaxseed,0,CL
1768,Flaxseed,0,CL
1768,Flour,92,CL
1768,Flour,0,CL
1768,Ginger,0,CL
1768,Ginger,0,CL
1768,Hams,0,CL
1768,Heading,15,CL
1768,Hemp,0,CL
1768,Hemp,1,CL
1768,Hemp,97,CL
1768,Hemp,1,CL
1768,Hemp,0,CL
1768,Hemp,790,CL
1768,Hoops,0,CL
1768,Indigo,0,CL
1768,Indigo,0,CL
1768,Indigo,0,CL
1768,Iron,69,CL
1768,Iron,0,CL
1768,Iron,4,CL
1768,Iron,0,CL
1768,Iron,1645,CL
1768,Loaf sugar,28,CL
1768,Oats,155,CL
1768,Peas,1,CL
1768,Peas,589,CL
1768,Pitch,170,CL
1768,Plank,15,CL
1768,Plank,81,CL
1768,Planks,0,CL
1768,Pork,291,CL
1768,Pork,25,CL
1768,Pork,4,CL
1768,Rice,0,CL
1768,Rice,0,CL
1768,Rum,29,CL
1768,Rum,126,CL
1768,Rum,6,CL
1768,Rye,1,CL
1768,Shingles,0,CL
1768,Skins,0,CL
1768,Skins,0,CL
1768,Skins,0,CL
1768,Skins,0,CL
1768,Staves,1616,CL
1768,Tar,51,CL
1768,Tobacco,119119,CL
1768,Turpentine,217,CL
1768,Wax,0,CL
1768,Wax,0,CL
1768,Wax,0,CL
1768,Wax,0,CL
1768,Wax,0,CL
1768,Wheat,15552,CL
1768,Wine,86,CL
1768,Wine,215,CL
1768,Wine,401,CL
1769,Beans,35,CL
1769,Bread,1346,CL
1769,Bread,29,CL
1769,Corn,9698,CL
1769,Cotton,53,CL
1769,Flour,3641,CL
1769,Handspikes,0,CL
1769,Hemp,1944,CL
1769,Hemp,0,CL
1769,Hemp,0,CL
1769,Hemp,4,CL
1769,Hemp,397,CL
1769,Hemp,0,CL
1769,Hoops,0,CL
1769,Indigo,0,CL
1769,Indigo,0,CL
1769,Indigo,0,CL
1769,Iron,0,CL
1769,Iron,3049,CL
1769,Loaf sugar,6,CL
1769,Oats,53,CL
1769,Peas,54,CL
1769,Pitch,19,CL
1769,Plank,51,CL
1769,Plank,9,CL
1769,Planks,17,CL
1769,Pork,22,CL
1769,Pork,5,CL
1769,Pork,1126,CL
1769,Potatoes,0,CL
1769,Rum,132,CL
1769,Rum,11,CL
1769,Rum,8,CL
1769,Rye,2,CL
1769,Shingles,0,CL
1769,Skins,0,CL
1769,Staves,1811,CL
1769,Tar,47,CL
1769,Tea,0,CL
1769,Tea,17,CL
1769,Tobacco,187620,CL
1769,Turpentine,28,CL
1769,Wax,0,CL
1769,Wax,0,CL
1769,Wheat,0,CL
1769,Wheat,42253,CL
1769,Wine,61,CL
1769,Wine,61,CL
1769,Wine,91,CL
1771,Beans,11,CL
1771,Beef,64,CL
1771,Biscuits,25,CL
1771,Biscuits,7571,CL
1771,Biscuits,25,CL
1771,Bread,170,CL
1771,Cheese,0,CL
1771,Chocolate,0,CL
1771,Corn,4277,CL
1771,Flaxseed,0,CL
1771,Flour,1788,CL
1771,Handspikes,0,CL
