Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenada,Grenadoes,Hispaniola,Jamaica,St. Croix,St. Eustatia,St. Kitts,St. VIncents,Tortola,WI,,New Providence,Boston,Falmouth,Marblehead,New York,Newfoundland,North Carolina,Philadelphia,Plymouth NE,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford,Newry,Belfast,Cork,Dublin,Londonderry,Sligo,IRE,,Alicant,Bilboa,Cadiz,Leghorn,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1773,,,,Sterling,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine board,feet,9.552,,0.0005,166.27,0.002872436,,,,,,,,,,,,,0,0,6000,,,,,,,,,,,,6000,17,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,6000,17
Pine plank,feet,9.552,,0.0005,166.27,0.002872436,10000,,,24000,,,10000,,,,,10163,54163,156,1000,,,,,,,,,,,,1000,3,,,,,0,0,,,,,,,,0,0,,,,,4300,,4300,12,,0,0,59463,171
Pine planks,,9.552,,0.005,166.27,0.028724364,,,,,,,,29,,,,,29,1,10,,,,,,,,,,,,10,0,,,,68,68,2,,,,,,,,0,0,,,,,,,0,0,,0,0,107,3
Planks,,9.552,,0.005,166.27,0.028724364,,,,,,,,,,,100,,100,3,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,100,3
Pork,barrels,83.97,,0.05,166.27,2.525109761,42,,,,17,,,,,,,26,85,215,,32,,,,4,,,,26,,,62,157,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,147,372
Potatoes,bushels,,,,166.27,0,,,,,,,,,,,,,0,0,,50,,,,,,,,,,50,100,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,100,0
Rum,hhds,3.25,,5.25,166.27,10.26192338,,,,,,,,,,,,,0,0,,1,,,,,1,,,,,,2,21,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,2,21
Rum,gallons,3.25,,0.05,166.27,0.097732604,,,,,,,,,,,,,0,0,,,,,,4530,,,,90,,840,5460,534,60,,,,60,6,,,687,,,,,687,0,,,,,430,,430,42,,0,0,6637,582
Rye,hhds,3.14,,0.35,166.27,0.660973116,,,,,,,,,,,,,0,0,,,,,,,,,,15,,,15,10,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,15,10
Rye,bushels,3.14,,0.05,166.27,0.094424731,,,,,,,,,,,,,0,0,,,,100,,,,,25,,25,,150,14,,,770,,770,73,,,,,,,,0,0,,,,,,,0,0,,0,0,920,87
