Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Curacao,Dominica,Granada,Grenadoes,Havanna,Jamaica,Nevis,St. Croix,St. Kitts,WI,,Bermuda,Boston,Georgia,New York,North Carolina,Philadelphia,Providence,Rhode Island,Salem,South Carolina,NA,,London,Hull,Lancaster,Liverpool,Whitehaven,Borrowstoness,Glasgow,Carran,GB,,Cork,Dublin,IRE,,Cadiz,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1766,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shingles,,,,,162.96,886430,1258485,22000,93050,163055,100000,,364410,59000,,106100,3052530,0,25000,,,,,,32000,,,6000,63000,0,,,,,,,,,0,0,,,0,0,,,,0,0,95585,95585,0,3211115,0
Skins,casks,,,,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,1,,,,,,,,1,0,,,0,0,,,,0,0,,0,0,1,0
Skins,hhds,,,,162.96,,,,,,,,,,,,0,0,,,,,,1,,,,,1,0,25,,,,,,1,,26,0,,,0,0,,,,0,0,,0,0,27,0
Staves,,6.56,,0.001,162.96,135812,412949,,19000,61000,21000,,106500,22900,,18000,797161,3209,,,,,1042,10000,,,,,11042,44,115670,12400,10800,150318,31100,21800,82550,,424638,1709,253000,12000,265000,1067,3300,2600,21000,26900,108,,0,0,1524741,6137
Staves and heading,,6.56,,0.001,162.96,93300,133236,1500,1000,34182,,,22050,,,104000,389268,1567,,,,,,,,,,,0,0,,5800,,56140,7000,,35000,10000,113940,459,,,0,0,,,40000,40000,161,,0,0,543208,2187
Sugar,barrels,55.74,,0.15,162.96,,,,,,,,,,,,0,0,,,,9,6,,,,,,15,77,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,15,77
Sugar,tierces,55.74,,0.495089286,162.96,,,,,,,,,,,,0,0,,,,2,3,,,,,,5,85,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,5,85
Tar,barrels,11.9,,0.05,162.96,112,138,,20,20,32,,170,,,,492,180,,108,,160,,20,23,,100,,411,150,1917,1946,594,5336,4104,310,75,1126,15408,5626,700,,700,256,,,,0,0,40,40,15,17051,6227
Tobacco,hhds,20.42,,0.552,162.96,15,66,,,,,,,,,,81,560,,,,,,4,,,,,4,28,883,75,15,7,29,,962,,1971,13633,,,0,0,,,,0,0,,0,0,2056,14221
Turpentine,barrels,20.73,,0.05,162.96,26,10,,,10,8,,61,,,,115,73,,,,86,,,3,,,,89,57,,252,50,1486,162,1750,,754,4454,2833,,,0,0,,,,0,0,,0,0,4658,2963
Walnut logs,,,,,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,18,,,,,,18,0,,,0,0,,,,0,0,,0,0,18,0
Wheat,bushels,5.73,,0.05,162.96,,,,,,,,,,,,0,0,,,,,,171,,,,,171,30,,,,3500,,,3880,,7380,1297,,,0,0,18270,2325,3000,23595,4148,,0,0,31146,5475
Wine,quarter casks,48.92,,0.25,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,1,,,,1,8,,,0,0,,,,0,0,,0,0,1,8
Wine,pipes,48.92,,1,162.96,,,,,,,,6,,,,6,180,,,,7,,,,,,,7,210,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,13,390
Wine,barrels,48.92,,0.5,162.96,,,,,,,,,,,,0,0,,,,16,,,,,,,16,240,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,16,240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,33231,,,,,,,,,,,,6404,,,,,,,,,,28279,,,,2852,,,,,5094,,,1072,,76932
